[H[2J[3JO cliente 0 comprou 2 produtos da Loja 1: 
	8 produtos com ID 89
	5 produtos com ID 152
[H[2J[3J[H[2J[3JLoja 1 conectada ao tópico Repo
     Tipo      Quantidade    Porcentagem  Cor
---  ------  ------------  -------------  --------
  0  A                100           50    Verde
  1  A                100           50    Verde
  2  A                100           50    Verde
  3  A                100           50    Verde
  4  A                100           50    Verde
  5  A                100           50    Verde
  6  A                100           50    Verde
  7  A                100           50    Verde
  8  A                100           50    Verde
  9  A                100           50    Verde
 10  A                100           50    Verde
 11  A                100           50    Verde
 12  A                100           50    Verde
 13  A                100           50    Verde
 14  A                100           50    Verde
 15  A                100           50    Verde
 16  A                100           50    Verde
 17  A                100           50    Verde
 18  A                100           50    Verde
 19  A                100           50    Verde
 20  A                100           50    Verde
 21  A                100           50    Verde
 22  A                100           50    Verde
 23  A                100           50    Verde
 24  A                100           50    Verde
 25  A                100           50    Verde
 26  A                100           50    Verde
 27  A                100           50    Verde
 28  A                100           50    Verde
 29  A                100           50    Verde
 30  A                100           50    Verde
 31  A                100           50    Verde
 32  A                100           50    Verde
 33  A                100           50    Verde
 34  A                100           50    Verde
 35  A                100           50    Verde
 36  A                100           50    Verde
 37  A                100           50    Verde
 38  A                100           50    Verde
 39  A                100           50    Verde
 40  A                100           50    Verde
 41  A                100           50    Verde
 42  A                100           50    Verde
 43  A                100           50    Verde
 44  A                100           50    Verde
 45  A                100           50    Verde
 46  A                100           50    Verde
 47  A                100           50    Verde
 48  A                100           50    Verde
 49  A                100           50    Verde
 50  A                100           50    Verde
 51  A                100           50    Verde
 52  A                100           50    Verde
 53  A                100           50    Verde
 54  A                100           50    Verde
 55  A                100           50    Verde
 56  A                100           50    Verde
 57  A                100           50    Verde
 58  A                100           50    Verde
 59  A                100           50    Verde
 60  A                100           50    Verde
 61  A                100           50    Verde
 62  A                100           50    Verde
 63  A                100           50    Verde
 64  A                100           50    Verde
 65  A                100           50    Verde
 66  A                100           50    Verde
 67  A                100           50    Verde
 68  A                100           50    Verde
 69  A                100           50    Verde
 70  B                 60           30    Amarelo
 71  B                 60           30    Amarelo
 72  B                 60           30    Amarelo
 73  B                 60           30    Amarelo
 74  B                 60           30    Amarelo
 75  B                 60           30    Amarelo
 76  B                 60           30    Amarelo
 77  B                 60           30    Amarelo
 78  B                 60           30    Amarelo
 79  B                 60           30    Amarelo
 80  B                 60           30    Amarelo
 81  B                 60           30    Amarelo
 82  B                 60           30    Amarelo
 83  B                 60           30    Amarelo
 84  B                 60           30    Amarelo
 85  B                 60           30    Amarelo
 86  B                 60           30    Amarelo
 87  B                 60           30    Amarelo
 88  B                 60           30    Amarelo
 89  B                 52           26    Amarelo
 90  B                 60           30    Amarelo
 91  B                 60           30    Amarelo
 92  B                 60           30    Amarelo
 93  B                 60           30    Amarelo
 94  B                 60           30    Amarelo
 95  B                 60           30    Amarelo
 96  B                 60           30    Amarelo
 97  B                 60           30    Amarelo
 98  B                 60           30    Amarelo
 99  B                 60           30    Amarelo
100  B                 60           30    Amarelo
101  B                 60           30    Amarelo
102  B                 60           30    Amarelo
103  B                 60           30    Amarelo
104  B                 60           30    Amarelo
105  B                 60           30    Amarelo
106  B                 60           30    Amarelo
107  B                 60           30    Amarelo
108  B                 60           30    Amarelo
109  B                 60           30    Amarelo
110  B                 60           30    Amarelo
111  B                 60           30    Amarelo
112  B                 60           30    Amarelo
113  B                 60           30    Amarelo
114  B                 60           30    Amarelo
115  B                 60           30    Amarelo
116  B                 60           30    Amarelo
117  B                 60           30    Amarelo
118  B                 60           30    Amarelo
119  B                 60           30    Amarelo
120  B                 60           30    Amarelo
121  B                 60           30    Amarelo
122  B                 60           30    Amarelo
123  B                 60           30    Amarelo
124  B                 60           30    Amarelo
125  B                 60           30    Amarelo
126  B                 60           30    Amarelo
127  B                 60           30    Amarelo
128  B                 60           30    Amarelo
129  B                 60           30    Amarelo
130  B                 60           30    Amarelo
131  B                 60           30    Amarelo
132  B                 60           30    Amarelo
133  B                 60           30    Amarelo
134  B                 60           30    Amarelo
135  B                 60           30    Amarelo
136  B                 60           30    Amarelo
